#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
1	816.571	8204.81	0	5810.96	95898.9	109915
2	816.571	8220.53	0	5800.37	95898.9	109920
3	816.571	8229.16	0	5807.99	95898.9	109936
4	816.571	8264.05	0	5806.55	95898.9	109970
5	816.571	8260.22	0	5792.93	95898.9	109952
6	816.571	8247.1	0	5778.07	91706	105731
7	816.571	8214.56	0	5761.35	91706	105682
8	816.571	8279.12	0	5775.44	91706	105761
9	816.571	8215.69	0	5771.41	91706	105693
10	816.571	8248.77	0	5777.68	91706	105732
11	816.571	8252.63	0	5781.56	91706	105740
12	816.571	8238.88	0	5785.75	91706	105731
13	816.571	8279.89	0	5787.46	91706	105773
14	816.571	8281.09	0	5768.87	91706	105756
15	816.571	8205.8	0	5747.59	90429.3	104383
16	816.571	8257.84	0	5764.71	90429.3	104452
17	816.571	8249.72	0	5767.3	90429.3	104446
18	816.571	8224.76	0	5755.73	90429.3	104410
19	816.571	8220.22	0	5758.98	90429.3	104408
20	816.571	8194.77	0	5735.78	90429.3	104360
21	816.571	8215.05	0	5726.83	90429.3	104371
22	816.571	8253.08	0	5718.19	90429.3	104401
23	816.571	8277.54	0	5735.18	90429.3	104442
24	816.571	8332.68	0	5738.78	90429.3	104501
25	816.571	8235.32	0	5739.01	90429.3	104404
26	816.571	8140.87	0	5723.91	90429.3	104294
27	816.571	8093.35	0	5701.95	90429.3	104225
28	816.571	8105.94	0	5683.04	90429.3	104218
29	816.571	8087.19	0	5676.07	90429.3	104193
30	816.571	8082.03	0	5639.11	90429.3	104150
31	816.571	8076.64	0	5649.36	90429.3	104155
32	816.571	8075.52	0	5655.25	90429.3	104160
33	816.571	8094.71	0	5633.84	90429.3	104158
34	816.571	8082.32	0	5636.46	90429.3	104148
35	816.571	8068.91	0	5618.53	90429.3	104117
36	816.571	8075	0	5616.88	90429.3	104121
37	816.571	8064.41	0	5587.68	90429.3	104081
38	816.571	8069.58	0	5596.15	90429.3	104095
39	816.571	8055.39	0	5565.72	90429.3	104050
40	816.571	8044.58	0	5560.09	90429.3	104034
41	816.571	8029.35	0	5570.18	90429.3	104029
42	816.571	8047.09	0	5588.78	90429.3	104065
43	816.571	8037.21	0	5574.43	90429.3	104041
44	816.571	8023.41	0	5571.2	90429.3	104024
45	816.571	8080.8	0	5547.78	90429.3	104058
46	816.571	8081.17	0	5546.84	90429.3	104057
47	816.571	8097.91	0	5536.92	90429.3	104064
48	816.571	8105.58	0	5548.58	90429.3	104083
49	816.571	8111.99	0	5558.06	90429.3	104099
50	816.571	8089.64	0	5565.6	90429.3	104085
51	816.571	8159.01	0	5555.63	90429.3	104144
52	816.571	8146.15	0	5530.2	90429.3	104106
53	816.571	8122.8	0	5522.32	90429.3	104074
54	816.571	8025.11	0	5526.51	90429.3	103981
55	816.571	8027.33	0	5504.04	90429.3	103961
56	816.571	8139.27	0	5515.52	93039.6	106694
57	816.571	8176.9	0	5527.63	93039.6	106744
58	816.571	8186.39	0	5543.48	93039.6	106769
59	816.571	8197.6	0	5551.57	93039.6	106789
60	816.571	8181.45	0	5552.45	91706	105440
61	816.571	8192.83	0	5557.66	91706	105457
62	816.571	8123.8	0	5534.17	91706	105364
63	816.571	8115.33	0	5529.62	91706	105351
64	816.571	8046.13	0	5516.84	90429.3	103992
65	816.571	7986.21	0	5489.55	89204.6	102680
66	816.571	8101.87	0	5495.05	89204.6	102802
67	816.571	8009.79	0	5496.88	89204.6	102711
68	816.571	7995.02	0	5468.24	89204.6	102668
69	816.571	7999.77	0	5482.47	89204.6	102687
70	816.571	8005.46	0	5470.82	89204.6	102681
71	816.571	7991.73	0	5460.41	89204.6	102657
72	816.571	7947.17	0	5440.06	89204.6	102592
73	816.571	7911.74	0	5415.44	89204.6	102532
74	816.571	7901.27	0	5397.81	89204.6	102504
75	816.571	7933.1	0	5384.65	89204.6	102522
76	816.571	7906.42	0	5368.85	89204.6	102480
77	816.571	7948.07	0	5349.53	89204.6	102502
78	816.571	7853.51	0	5348.63	89204.6	102407
79	816.571	7842.63	0	5337.56	89204.6	102385
80	816.571	7832.12	0	5335.35	89204.6	102372
81	816.571	7795.61	0	5304.72	89204.6	102305
82	816.571	7800.07	0	5316.3	89204.6	102321
83	816.571	7819.24	0	5306.65	89204.6	102330
84	816.571	7824.01	0	5298.27	89204.6	102327
85	816.571	7839.01	0	5319.73	89204.6	102363
86	816.571	7777.88	0	5293.65	88028	101100
87	816.571	7778.45	0	5294.88	88028	101101
88	816.571	7794.9	0	5299.76	88028	101123
89	816.571	7769.41	0	5282.02	88028	101079
90	816.571	7826.59	0	5264.06	88028	101119
91	816.571	7857.82	0	5278.04	88028	101164
92	816.571	7876.72	0	5295.35	88028	101200
93	816.571	7878.23	0	5308.16	88028	101214
94	816.571	7860.08	0	5300.39	88028	101188
95	816.571	7919.7	0	5305.57	88028	101253
96	816.571	7941.61	0	5301.53	88028	101271
97	816.571	7960.09	0	5291.03	88028	101279
98	816.571	7927.06	0	5261.16	88028	101216
99	816.571	7899.9	0	5282.84	88028	101211
100	816.571	7880.47	0	5277.84	88028	101186
101	816.571	7887.18	0	5291.62	88028	101207
102	816.571	7917.16	0	5273.99	88028	101219
103	816.571	7909.68	0	5259.09	86895.8	100065
104	816.571	8005.7	0	5264.93	86895.8	100166
105	816.571	7921.19	0	5243.78	86895.8	100061
106	816.571	7920.33	0	5249.85	86895.8	100066
107	816.571	7837.63	0	5242.53	86895.8	99975.9
108	816.571	7872.13	0	5255.25	86895.8	100023
109	816.571	7868	0	5250.09	86895.8	100014
110	816.571	7859.17	0	5259	86895.8	100014
111	816.571	8005.57	0	5264.77	86895.8	100166
112	816.571	8022.51	0	5238.09	85804.7	99065.3
113	816.571	8035.24	0	5214.72	85804.7	99054.7
114	816.571	8030.29	0	5237.74	85804.7	99072.8
115	816.571	8054.77	0	5221.17	85804.7	99080.7
116	816.571	8038.28	0	5201.91	85804.7	99044.9
117	816.571	8049.02	0	5175.27	85804.7	99029
118	816.571	8065.37	0	5161.11	85804.7	99031.2
119	816.571	8064.11	0	5164.23	85804.7	99033.1
120	816.571	8025.16	0	5176.89	85804.7	99006.8
121	816.571	8033.46	0	5180.85	85804.7	99019
122	816.571	8037.04	0	5175.29	85804.7	99017.1
123	816.571	8017.33	0	5158.52	85804.7	98980.6
124	816.571	8072.69	0	5148.52	85804.7	99026
125	816.571	8053.74	0	5146.83	85804.7	99005.3
126	816.571	8116.83	0	5162.71	85804.7	99084.3
127	816.571	8114.82	0	5132.59	85804.7	99052.2
128	816.571	7991.92	0	5120.7	84752	97864.6
129	816.571	7996.65	0	5126.82	84752	97875.5
130	816.571	7978.75	0	5117.18	83735	96830.9
131	816.571	7978.04	0	5123.6	83735	96836.6
132	816.571	7964.84	0	5099.72	83735	96799.5
133	816.571	7914.51	0	5074.17	83735	96723.6
134	816.571	7928.97	0	5042.84	83735	96706.8
135	816.571	7879.78	0	5022.94	83735	96637.7
136	816.571	7882.19	0	5016.31	83735	96633.5
137	816.571	7893.31	0	5019.12	83735	96647.4
138	816.571	7903.89	0	5012.56	83735	96651.4
139	816.571	7900.81	0	5006.69	83735	96642.5
140	816.571	7930.2	0	5011.68	83735	96676.8
141	816.571	7980.68	0	4976.15	83735	96691.8
142	816.571	7902.28	0	4962.58	83735	96599.8
143	816.571	7939.63	0	4961.93	84752	97653.6
144	816.571	8028.15	0	4951.5	84752	97731.6
145	816.571	8053.32	0	4970.75	84752	97776.1
146	816.571	8129.65	0	4988.57	84752	97870.2
147	816.571	8163.67	0	4968.1	84752	97883.8
148	816.571	8276.9	0	4960.26	84752	97989.2
149	816.571	8267.43	0	4962.04	84752	97981.5
150	816.571	8292.87	0	4946.24	84752	97991.1
151	816.571	8288.81	0	4939.92	84752	97980.7
152	816.571	8385.55	0	4968	84752	98105.5
153	816.571	8298.14	0	4912.41	83735	96945.5
154	816.571	8361.73	0	4930.53	83735	97027.2
155	816.571	8331.66	0	4925.91	83735	96992.5
156	816.571	8346.64	0	4929.29	83735	97010.9
157	816.571	8309.54	0	4931.66	83735	96976.2
158	816.571	8312.57	0	4932.31	83735	96979.8
159	816.571	8450.34	0	4964.47	83735	97149.8
160	816.571	8422.4	0	4939.93	83735	97097.3
161	816.571	8423.85	0	4946.34	83735	97105.1
162	816.571	8424.66	0	4957.58	83735	97117.2
163	816.571	8397.7	0	4949.31	83735	97082
164	816.571	8407.52	0	4961.09	79980.1	93348.7
165	816.571	8380.11	0	4942.97	79980.1	93303.1
166	816.571	8455.52	0	4977.11	79980.1	93412.7
