#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
1	804.897	8034.28	0	5811.74	79110.4	92956.5
2	804.897	8035.43	0	5812.75	79110.4	92958.6
3	804.897	8016.38	0	5774.42	78265.3	92056.1
4	804.897	8011.25	0	5772.6	78265.3	92049.2
5	804.897	8022.43	0	5765.79	78265.3	92053.5
6	804.897	7995.76	0	5760.2	78265.3	92021.3
7	804.897	8008.91	0	5765.33	78265.3	92039.5
8	804.897	7996.24	0	5776.47	78265.3	92038
9	804.897	8024.1	0	5770.03	78265.3	92059.4
10	804.897	8020.52	0	5755.21	78265.3	92041
11	804.897	8006.81	0	5755.34	78265.3	92027.5
12	804.897	7934.68	0	5747.49	78265.3	91947.5
13	804.897	7901.12	0	5712.96	78265.3	91879.4
14	804.897	7793.23	0	5691.36	78265.3	91749.9
15	804.897	7796.91	0	5680.62	78265.3	91742.8
16	804.897	7810.5	0	5719.41	77443.3	90973.2
17	804.897	7671.03	0	5720.93	77443.3	90835.3
18	804.897	7681.03	0	5732.4	77443.3	90856.8
19	804.897	7621.54	0	5702.73	77443.3	90767.6
20	804.897	7625.36	0	5710.12	77443.3	90778.8
21	804.897	7633.21	0	5686.4	77443.3	90762.9
22	804.897	7604.68	0	5668.03	77443.3	90716.1
23	804.897	7601.2	0	5654.91	77443.3	90699.4
24	804.897	7698.23	0	5661.7	77443.3	90803.3
25	804.897	7668.77	0	5633.02	77443.3	90745.1
26	804.897	7675.25	0	5651.04	77443.3	90769.6
27	804.897	7650.25	0	5649.3	77443.3	90742.9
28	804.897	7566.48	0	5644.56	77443.3	90654.4
29	804.897	7566.53	0	5631.62	77443.3	90641.5
30	804.897	7622.25	0	5638.18	77443.3	90703.8
31	804.897	7612.19	0	5634.9	77443.3	90690.4
32	804.897	7615.13	0	5614.8	77443.3	90673.3
33	804.897	7599.15	0	5618.5	77443.3	90661
34	804.897	7616.05	0	5627.97	77443.3	90687.4
35	804.897	7623.87	0	5629.66	77443.3	90696.9
36	804.897	7627.4	0	5614.09	77443.3	90684.8
37	804.897	7589.18	0	5609.35	76643.3	89841.8
38	804.897	7585.1	0	5586.14	75864	89035.3
39	804.897	7584.62	0	5571.62	75864	89020.3
40	804.897	7582.99	0	5582.37	75864	89029.4
41	804.897	7599.97	0	5571.54	75864	89035.5
42	804.897	7600.36	0	5583.9	75864	89048.3
43	804.897	7598.79	0	5573.76	75864	89036.6
44	804.897	7575.58	0	5585.09	75864	89024.7
45	804.897	7583.3	0	5581.43	75864	89028.8
46	804.897	7570.05	0	5568.31	75864	89002.4
47	804.897	7550.85	0	5572.03	75864	88986.9
48	804.897	7568.34	0	5582.86	75864	89015.2
